train,model,method,model_acc,readmitted,ATE0,ATE1,ATE
FALSE,LogisticRegression,ipw,0.545,0.114,0.092,0.118,0.026
FALSE,RandomForests,ipw,0.671,0.114,0.082,0.114,0.032
TRUE,LogisticRegression,ipw,0.544,0.114,0.090,0.119,0.029
TRUE,RandomForests,ipw,0.750,0.114,0.079,0.114,0.035
FALSE,LogisticRegression,s_learner,0.503,0.114,0.002,0.003,0.001
FALSE,RandomForests,s_learner,0.601,0.114,0.189,0.396,0.207
TRUE,LogisticRegression,s_learner,0.503,0.114,0.001,0.003,0.001
TRUE,RandomForests,s_learner,0.609,0.114,0.188,0.394,0.206
FALSE,LogisticRegression,s_learner_star,0.503,0.114,0.014,0.102,0.088
FALSE,RandomForests,s_learner_star,0.601,0.114,0.184,0.148,-0.036
TRUE,LogisticRegression,s_learner_star,0.503,0.114,0.014,0.102,0.088
TRUE,RandomForests,s_learner_star,0.609,0.114,0.184,0.147,-0.036
FALSE,LogisticRegression,t_learner,0.501,0.114,0.003,0.003,-0.001
FALSE,RandomForests,t_learner,0.572,0.114,0.385,0.363,-0.022
TRUE,LogisticRegression,t_learner,0.506,0.114,0.003,0.002,-0.001
TRUE,RandomForests,t_learner,0.658,0.114,0.382,0.363,-0.019
FALSE,LogisticRegression,t_learner_star,0.501,0.114,0.016,0.102,0.086
FALSE,RandomForests,t_learner_star,0.572,0.114,0.351,0.143,-0.208
TRUE,LogisticRegression,t_learner_star,0.506,0.114,0.015,0.102,0.087
TRUE,RandomForests,t_learner_star,0.658,0.114,0.350,0.143,-0.206
FALSE,KNN,matching_euclidean_k:1,1.000,0.114,0.078,0.118,0.040
TRUE,KNN,matching_euclidean_k:1,1.000,0.114,0.079,0.118,0.039
FALSE,KNN,matching_euclidean_k:11,0.502,0.114,0.013,0.102,0.089
TRUE,KNN,matching_euclidean_k:11,0.501,0.114,0.013,0.102,0.089
FALSE,KNN,matching_euclidean_k:15,0.500,0.114,0.013,0.102,0.089
TRUE,KNN,matching_euclidean_k:15,0.501,0.114,0.013,0.102,0.090
FALSE,KNN,matching_euclidean_k:3,0.595,0.114,0.028,0.107,0.079
TRUE,KNN,matching_euclidean_k:3,0.596,0.114,0.028,0.107,0.079
FALSE,KNN,matching_euclidean_k:5,0.523,0.114,0.016,0.103,0.087
TRUE,KNN,matching_euclidean_k:5,0.529,0.114,0.018,0.104,0.086
FALSE,KNN,matching_euclidean_k:7,0.507,0.114,0.014,0.102,0.089
TRUE,KNN,matching_euclidean_k:7,0.509,0.114,0.014,0.103,0.088
FALSE,KNN,matching_nca:10_k:1,1.000,0.114,0.081,0.119,0.037
TRUE,KNN,matching_nca:10_k:1,1.000,0.114,0.080,0.119,0.040
FALSE,KNN,matching_nca:10_k:11,0.502,0.114,0.013,0.102,0.089
TRUE,KNN,matching_nca:10_k:11,0.500,0.114,0.013,0.102,0.090
FALSE,KNN,matching_nca:10_k:15,0.501,0.114,0.013,0.102,0.089
TRUE,KNN,matching_nca:10_k:15,0.501,0.114,0.012,0.102,0.090
FALSE,KNN,matching_nca:10_k:3,0.585,0.114,0.032,0.107,0.075
TRUE,KNN,matching_nca:10_k:3,0.570,0.114,0.030,0.108,0.078
FALSE,KNN,matching_nca:10_k:5,0.521,0.114,0.019,0.104,0.085
TRUE,KNN,matching_nca:10_k:5,0.514,0.114,0.018,0.104,0.086
FALSE,KNN,matching_nca:10_k:7,0.505,0.114,0.015,0.103,0.088
TRUE,KNN,matching_nca:10_k:7,0.505,0.114,0.014,0.103,0.089
FALSE,KNN,matching_nca:20_k:1,1.000,0.114,0.082,0.119,0.037
TRUE,KNN,matching_nca:20_k:1,1.000,0.114,0.079,0.119,0.040
FALSE,KNN,matching_nca:20_k:11,0.501,0.114,0.013,0.102,0.089
TRUE,KNN,matching_nca:20_k:11,0.501,0.114,0.012,0.102,0.090
FALSE,KNN,matching_nca:20_k:15,0.500,0.114,0.012,0.102,0.089
TRUE,KNN,matching_nca:20_k:15,0.501,0.114,0.012,0.102,0.090
FALSE,KNN,matching_nca:20_k:3,0.588,0.114,0.031,0.107,0.076
TRUE,KNN,matching_nca:20_k:3,0.574,0.114,0.029,0.108,0.079
FALSE,KNN,matching_nca:20_k:5,0.521,0.114,0.018,0.103,0.085
TRUE,KNN,matching_nca:20_k:5,0.514,0.114,0.017,0.104,0.087
FALSE,KNN,matching_nca:20_k:7,0.508,0.114,0.014,0.102,0.088
TRUE,KNN,matching_nca:20_k:7,0.502,0.114,0.014,0.103,0.089
FALSE,KNN,matching_nca:2_k:1,1.000,0.114,0.081,0.121,0.039
TRUE,KNN,matching_nca:2_k:1,1.000,0.114,0.082,0.120,0.038
FALSE,KNN,matching_nca:2_k:11,0.500,0.114,0.012,0.102,0.089
TRUE,KNN,matching_nca:2_k:11,0.500,0.114,0.012,0.102,0.090
FALSE,KNN,matching_nca:2_k:15,0.500,0.114,0.012,0.102,0.089
TRUE,KNN,matching_nca:2_k:15,0.500,0.114,0.012,0.102,0.090
FALSE,KNN,matching_nca:2_k:3,0.577,0.114,0.030,0.108,0.078
TRUE,KNN,matching_nca:2_k:3,0.580,0.114,0.031,0.108,0.077
FALSE,KNN,matching_nca:2_k:5,0.521,0.114,0.019,0.104,0.085
TRUE,KNN,matching_nca:2_k:5,0.519,0.114,0.019,0.104,0.086
FALSE,KNN,matching_nca:2_k:7,0.505,0.114,0.014,0.103,0.088
TRUE,KNN,matching_nca:2_k:7,0.501,0.114,0.014,0.103,0.089
FALSE,KNN,matching_nca:30_k:1,1.000,0.114,0.081,0.118,0.037
TRUE,KNN,matching_nca:30_k:1,1.000,0.114,0.079,0.119,0.040
FALSE,KNN,matching_nca:30_k:11,0.501,0.114,0.013,0.102,0.089
TRUE,KNN,matching_nca:30_k:11,0.500,0.114,0.012,0.102,0.090
FALSE,KNN,matching_nca:30_k:15,0.500,0.114,0.012,0.102,0.089
TRUE,KNN,matching_nca:30_k:15,0.500,0.114,0.012,0.102,0.090
FALSE,KNN,matching_nca:30_k:3,0.585,0.114,0.032,0.107,0.075
TRUE,KNN,matching_nca:30_k:3,0.571,0.114,0.029,0.108,0.078
FALSE,KNN,matching_nca:30_k:5,0.519,0.114,0.019,0.103,0.085
TRUE,KNN,matching_nca:30_k:5,0.511,0.114,0.017,0.104,0.087
FALSE,KNN,matching_nca:30_k:7,0.507,0.114,0.015,0.103,0.088
TRUE,KNN,matching_nca:30_k:7,0.503,0.114,0.014,0.103,0.089
FALSE,KNN,matching_propensity_k:1,1.000,0.114,0.083,0.117,0.034
TRUE,KNN,matching_propensity_k:1,1.000,0.114,0.114,0.116,0.002
FALSE,KNN,matching_propensity_k:11,0.500,0.114,0.012,0.102,0.089
TRUE,KNN,matching_propensity_k:11,0.500,0.114,0.012,0.102,0.090
FALSE,KNN,matching_propensity_k:15,0.500,0.114,0.012,0.102,0.089
TRUE,KNN,matching_propensity_k:15,0.500,0.114,0.012,0.102,0.090
FALSE,KNN,matching_propensity_k:3,0.571,0.114,0.030,0.106,0.076
TRUE,KNN,matching_propensity_k:3,0.576,0.114,0.025,0.106,0.081
FALSE,KNN,matching_propensity_k:5,0.517,0.114,0.016,0.103,0.087
TRUE,KNN,matching_propensity_k:5,0.521,0.114,0.018,0.103,0.085
FALSE,KNN,matching_propensity_k:7,0.503,0.114,0.014,0.102,0.088
TRUE,KNN,matching_propensity_k:7,0.507,0.114,0.013,0.102,0.089
